Provider Name,Date Approved,Harvestable as of May 2022,Number of resources,Paterson Category,OLAC Coder,baseURL,
The Natural Language Software Registry,2003-03-05,yes,69,Bibliography,?,http://www.language-archives.org/hosted/dfki.xml,x
Eurac Research CLARIN Centre,2018-12-11,Yes,19,Repository,Alexander König,,x
C'ek'aedi Hwnax Ahtna Regional Linguistic and Ethnographic Archive,2011-12-21,No,1474,Archive,Andrea L. Berez,,x
The Rosetta Project: A Long Now Foundation Library of Human Language,2010-06-30,,,Repository,Ben Keating,http://www.language-archives.org/hosted/rosettaproject.org.xml,x
Speech and Language Data Repository (SLDR/ORTOLANG),2009-06-06,,,Repository,Bernard Bel,,x
CHILDES Data repository,2013-05-19,Yes,359,Repository,Brian MacWhinney,,x
TALKBANK Data repository,2008-10-07,Yes,247,Repository,Brian MacWhinney,,x
Ethnologue: Languages of the World,2003-03-06,Yes,7530,Typological Database,Chad K. White,,x
U Bielefeld Language Archive,2003-10-20,No,13,Repository,Dafydd Gibbon,,x
Kaipuleohone,2009-05-11,yes,5517,Archive,Daniel Ishimitsu,,x
Language Documentation and Conservation,2014-02-04,yes,1470,Publisher,Daniel Ishimitsu,,x
Pacific Collection at the University of Hawai'i at Mānoa Hamilton Library,2016-03-12,no,5292,Instutional Libraries,Daniel Ishimitsu,,x
The LDC Corpus Catalog,2005-06-28,yes,904,Archive,Daniel Jaquette,,x
Tibetan and Himalayan Digital Library,2003-03-05,yes,1,Repository,David Germano,http://www.language-archives.org/hosted/thdl-olac.xml,x
Academia Sinica Collections,2009-06-05,Yes,3,Archive,Elizabeth Zeitoun,http://www.language-archives.org/hosted/AcademiaSinica.xml,x
LAPSyD,2015-04-20,,,Typological Database,"Flavier, Sébastien",,x
Alaska Native Language Archive,2010-12-18,no,2199,Archive,Gary Holton,,x
Comparative Corpus of Spoken Portuguese,2005-02-22,No,1,Repository,Gayathri Sriram,,x
Rebecca Paterson's Interactive Research Portfolio,2021-02-24,Yes,36,Personal-CV,Hugh Paterson III,,x
Graduate Institute of Applied Linguistics Library,2009-07-11,No,8176,Instutional Libraries,Joan Spanne,,x
The Crúbadán Project,2015-02-21,Yes,2228,Project Portfolio,Kevin Scannell,,x
Archive of the Indigenous Languages of Latin America (AILLA),2014-10-14,No,289,Archive,Ladd Hanson,,x
Aboriginal Studies Electronic Data Archive (ASEDA),2006-10-24,No,707,Repository,Langauge Officer,,x
Oxford Text Archive,2003-10-27,yes,1264,Archive,Martin Wynne,http://www.language-archives.org/archive_records/ota.ahds.ac.uk,x
Surrey Morphology Group Databases,2003-10-21,No,2,Typological Database,"Matthew Baerman,",,x
TST-Centrale,2013-04-24,No,61,Repository,Michel Boekestein,,x
Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC),2009-01-25,Yes,23030,Archive,Nick Thieberger,,x
Webonary Sites,2015-12-23,Yes,258,Libraries,Philip Perry,,x
"ILC-CNR for CLARIN-IT repository hosted at Institute for Computational Linguistics ""A. Zampolli"", National Research Council, in Pisa",2017-01-04,Yes,484,Archive,Riccardo Del Gratta,,x
SIL Language and Culture Archives,2003-09-28,Yes,49474,Archive,Rick Harman,,x
AfBo: A world-wide survey of affix borrowing,2013-11-28,Yes,147,Typological Database,Robert Forkel,,x
APiCS Online,2013-10-17,Yes,54,Typological Database,Robert Forkel,,x
Dictionaria,2019-09-20,Yes,14,Libraries,Robert Forkel,,x
Glottolog 4.4,2013-08-24,Yes,8064,Typological Database,Robert Forkel,,x
PHOIBLE 2.0,2014-09-12,Yes,2067,Typological Database,Robert Forkel,,x
SAILS Online,2014-04-21,yes,165,Typological Database,Robert Forkel,,x
WALS,2009-07-11,yes,2607,Typological Database,Robert Forkel,,x
WALS Online RefDB,2009-07-11,No,7148,Typological Database,Robert Forkel,,x
WOLD,2014-06-04,Yes,229,Typological Database,Robert Forkel,,x
California Language Archive,2011-11-15,Yes,14959,Archive,Ronald Sprouse,,x
